MODELO;ID_CLIENTE;MODELOS;MARCA
5;1243;5;MAZDA
2008;1810;2008;PEUGEOT
3008;1569;3008;PEUGEOT
5008;376;5008;PEUGEOT
2008 ACTIVE BLUEHDI;397;2008;PEUGEOT
2008 ALLURE BLUEHDI;530;2008;PEUGEOT
2008 ALLURE E HDI 1.6;925;2008;PEUGEOT
3008 ACTIVE BLUEHDI;477;3008;PEUGEOT
3008 ACTIVE HDI 1.6;409;3008;PEUGEOT
3008 ALLURE HDI 1.6;422;3008;PEUGEOT
3008 PREMIUM 1.6 AUT;527;3008;PEUGEOT
3008 PREMIUM HDI 1.6;993;3008;PEUGEOT
4 RUNNER;1711;4 RUNNER;TOYOTA
4 RUNNER 4.0;1008;4 RUNNER;TOYOTA
4 RUNNER 4.0 AUT;1359;4 RUNNER;TOYOTA
4 RUNNER LIMITED 4.0 AUT;627;4 RUNNER;TOYOTA
4RUNNER;1233;4 RUNNER;TOYOTA
4RUNNER 4X4 4.0 AUT;1506;4 RUNNER;TOYOTA
4RUNNER LIMITED 4X4 4.0 AUT;501;4 RUNNER;TOYOTA
4RUNNER SR5 4.0 AUT;1469;4 RUNNER;TOYOTA
4RUNNER SR5 4X4 4.0;701;4 RUNNER;TOYOTA
4RUNNER SR5 4X4 4.0 AUT;615;4 RUNNER;TOYOTA
5 V 2.0;405;5;MAZDA
5 V 2.0 AT;377;5;MAZDA
ACTYON;432;ACTYON;SSANGYONG
ACTYON 2.3;513;ACTYON;SSANGYONG
ADV;1973;ADV;MAZDA
ALL;2683;ALL;MAZDA
ALL NEW CX 3 R 2.0 AUT;477;ALL NEW CX 3 R 2.0 AUT;MAZDA
ALL NEW CX 5 R;1420;ALL NEW CX 5 R;MAZDA
ALL NEW FORESTER 2.0;914;ALL NEW FORESTER ;SUBARU
ALL NEW OUTBACK 2.5I;772;ALL NEW OUTBACK ;SUBARU
ALL NEW OUTBACK 2.5I AWD LTD AUT;452;ALL NEW OUTBACK ;SUBARU
APV VAN GL 1.6;1188;APV VAN GL 1.6;SUZUKI
APV2 GL 1.6;645;APV VAN GL 1.7;SUZUKI
ASX;475;ASX;MITSUBISHI
ASX GLX 2.0;650;ASX;MITSUBISHI
B MULTISPACE HDI 1.6;362;B MULTISPACE HDI 1.6;CITROEN
BEAT;665;BEAT;CHEVROLET
BEAT 1.3;1316;BEAT;CHEVROLET
C4 PICASSO HDI 1.6;536;C4 PICASSO ;CITROEN
CALIBER SXT 2.0 AT;378;CALIBER SXT 2.0 AT;DODGE
CAPTIVA;6026;CAPTIVA;CHEVROLET
CAPTIVA II LS 2.2;695;CAPTIVA;CHEVROLET
CAPTIVA II LS 2.4;1757;CAPTIVA;CHEVROLET
CAPTIVA III LS 2.4;427;CAPTIVA;CHEVROLET
CAPTIVA III LS FWD 2;969;CAPTIVA;CHEVROLET
CAPTIVA III LT AWD 2;425;CAPTIVA;CHEVROLET
CAPTIVA III LT FULL;600;CAPTIVA;CHEVROLET
CAPTIVA IV LS 2.2;590;CAPTIVA;CHEVROLET
CAPTIVA IV LS 2.4;415;CAPTIVA;CHEVROLET
CAPTIVA LS;363;CAPTIVA;CHEVROLET
CAPTIVA LS 2.0;2000;CAPTIVA;CHEVROLET
CAPTIVA LS 2.2;740;CAPTIVA;CHEVROLET
CAPTIVA LS 2.4;3871;CAPTIVA;CHEVROLET
CAPTIVA LT AWD 2.0;632;CAPTIVA;CHEVROLET
CAPTIVA LTZ AWD 2.0 AT;486;CAPTIVA;CHEVROLET
CAPTUR;574;CAPTUR;RENAULT
CAPTUR EXPRESSION;393;CAPTUR;RENAULT
CAPTUR EXPRESSION 1.5;491;CAPTUR;RENAULT
CARENS;1198;CARENS;KIA
CARENS EX 1.7;383;CARENS;KIA
CARENS EX 2.0;424;CARENS;KIA
CARENS LX 2.0;1125;CARENS;KIA
CARNIVAL;1581;CARNIVAL;KIA
CAYENNE;919;CAYENNE;PORSCHE
CHEROKEE;4057;CHEROKEE;JEEP
COMPASS;4404;COMPASS;JEEP
