MODELO;MARCA
EXPLORER XLT 4.0 AUT;FORD
REXTON CRDI PS 2.7 AT;SSANGYONG
NEW KYRON XDI 4X4 2.0;SSANGYONG
NITRO SLT 4X4 2.8;DODGE
ML 63 AMG;MERCEDES BENZ
C4 PICASSO 2.0;CITROEN
CRV EXL 2.4 AUT;HONDA
PATRIOT 4X4 2.4 AT;JEEP
SANTA FE GL CRDI 2.2;HYUNDAI
GRAND NOMADE GLX SPORT 4X4 2.0 AUT;SUZUKI
TOWN Y COUNTRY LX 3.8;CHRYSLER
CX9 GT SIX PASSENGER EDIT AWD 3.7;MAZDA
LAND CRUISER PRADO 4.0 AUT;TOYOTA
MONTERO SPORT TURBO 2.5;MITSUBISHI
NEW FORESTER 2.0 AWD AUT;SUBARU
NITRO SLT 4X4 3.7;DODGE
X5 4.8IA AUT;BMW
EXPLORER XLT;FORD
NEW GRAND CHEROKEE LAREDO 3.7 AUT;JEEP
MONTERO SPORT GL 2.5;MITSUBISHI
OUTLANDER K2 FULL 3.0 AUT;MITSUBISHI
MONTERO SPORT G2 GLX 3.2;MITSUBISHI
SPORTAGE PRO LX DAB 2.0;KIA MOTORS
X5 M 4.4 AUT;BMW
ESCAPE II XLS 2.5;FORD
MONTERO SPORT G2 GL 4X4 3.2;MITSUBISHI
SANTA FE GLS 4X4 2.7 AUT;HYUNDAI
XTRAIL AT;NISSAN
CHEROKEE LIBERTY LIMITED 3.7 AUT;JEEP
CAYENNE 3.6 TIPTRONIC;PORSCHE
GRAND CARNIVAL EX DSL 2.9 AUT;KIA MOTORS
REXTON 2.7;SSANGYONG
NEW OUTLANDER GL 2.4 AUT;MITSUBISHI
NEW ECOSPORT XLT 1.6;FORD
VIANO TREND;MERCEDES BENZ
ACTYON 2.3 AT;SSANGYONG
CHEROKEE LIBERTY SPORT 2.8 AT;JEEP
ALL NEW OUTBACK 2.5I AWD XS AUT;SUBARU
XL7 GLX 3.6 AT;SUZUKI
CHEROKEE LIBERTY SPORT 3.7 AUT;JEEP
KOLEOS DYNAMIQUE 4X4 2.5 AUT;RENAULT
TUCSON GL 4X4 2.0;HYUNDAI
XTRAIL S 4X4 AUT;NISSAN
NEW TRIBECA 3.6 AWD AUT;SUBARU
MONTERO SPORT G2 4X4 3.2;MITSUBISHI
DURANGO LIMITED 5.7 AUT;DODGE
CHEROKEE LIBERTY LTD 4X4 3.7 AUT;JEEP
DISCOVERY 4X4 2.7 AUT;LAND ROVER
